Website,Agency,Bureau,Office
apps.bea.gov,Department of Commerce,BEA,
bea.gov,Department of Commerce,BEA,
acmt.bis.doc.gov,Department of Commerce,BIS,
bis.gov,Department of Commerce,BIS,
cars.bis.gov,Department of Commerce,BIS,
cwc.gov,Department of Commerce,BIS,
cwcweb.cwc.gov,Department of Commerce,BIS,
efoia.bis.doc.gov,Department of Commerce,BIS,
slid.bis.doc.gov,Department of Commerce,BIS,
snapr.bis.gov,Department of Commerce,BIS,
tac.bis.doc.gov,Department of Commerce,BIS,
access.census.gov,Department of Commerce,Census,
api.census.gov,Department of Commerce,Census,
ask.census.gov,Department of Commerce,Census,
bds.explorer.ces.census.gov,Department of Commerce,Census,
bhs.econ.census.gov,Department of Commerce,Census,
cbb.census.gov,Department of Commerce,Census,
census.gov,Department of Commerce,Census,
coil.census.gov,Department of Commerce,Census,
data.census.gov,Department of Commerce,Census,
geocoding.geo.census.gov,Department of Commerce,Census,
j2jexplorer.ces.census.gov,Department of Commerce,Census,
ledextract.ces.census.gov,Department of Commerce,Census,
lehd.ces.census.gov,Department of Commerce,Census,
mtgis-portal.geo.census.gov,Department of Commerce,Census,
opportunity.census.gov,Department of Commerce,Census,
portal.census.gov,Department of Commerce,Census,
qwiexplorer.ces.census.gov,Department of Commerce,Census,
respond.census.gov,Department of Commerce,Census,
spd15revision.gov,Department of Commerce,Census,
tigerweb.geo.census.gov,Department of Commerce,Census,
usatrade.census.gov,Department of Commerce,Census,
www2.census.gov,Department of Commerce,Census,
xd.gov,Department of Commerce,Census,
eda.gov,Department of Commerce,EDA,
sfgrants.eda.gov,Department of Commerce,EDA,
2014-2018.firstnet.gov,Department of Commerce,FirstNet,
5x5.firstnet.gov,Department of Commerce,FirstNet,
firstnet.gov,Department of Commerce,FirstNet,
access.trade.gov,Department of Commerce,ITA,
beta.trade.gov,Department of Commerce,ITA,
dataprivacyframework.gov,Department of Commerce,ITA,
developer.trade.gov,Department of Commerce,ITA,
enforcement.trade.gov,Department of Commerce,ITA,
esel.trade.gov,Department of Commerce,ITA,
legacy.export.gov,Department of Commerce,ITA,
legacy.trade.gov,Department of Commerce,ITA,
ofis.trade.gov,Department of Commerce,ITA,
stopfakes.gov,Department of Commerce,ITA,
trade.gov,Department of Commerce,ITA,
wwtg.gov,Department of Commerce,ITA,
mbda.gov,Department of Commerce,MBDA,
abacus.nist.gov,Department of Commerce,NIST,
actev.nist.gov,Department of Commerce,NIST,
acvts.nist.gov,Department of Commerce,NIST,
adsorption.nist.gov,Department of Commerce,NIST,
ai-challenges.nist.gov,Department of Commerce,NIST,
airc.nist.gov,Department of Commerce,NIST,
ambench.nist.gov,Department of Commerce,NIST,
ambench2022.nist.gov,Department of Commerce,NIST,
ammd.nist.gov,Department of Commerce,NIST,
aphl.nist.gov,Department of Commerce,NIST,
askchips.chips.gov,Department of Commerce,NIST,
baldrigeresources.nist.gov,Department of Commerce,NIST,
bbddata.nist.gov,Department of Commerce,NIST,
boudicca.nist.gov,Department of Commerce,NIST,
boulder.doc.gov,Department of Commerce,NIST,
calnet.nist.gov,Department of Commerce,NIST,
cccbdb.nist.gov,Department of Commerce,NIST,
cda-validation.nist.gov,Department of Commerce,NIST,
cdcs.registry.nist.gov,Department of Commerce,NIST,
cfreds-archive.nist.gov,Department of Commerce,NIST,
cfreds.nist.gov,Department of Commerce,NIST,
chemdata.nist.gov,Department of Commerce,NIST,
circular.nist.gov,Department of Commerce,NIST,
code.nist.gov,Department of Commerce,NIST,
concrete.nist.gov,Department of Commerce,NIST,
consensus.nist.gov,Department of Commerce,NIST,
covid19-data.nist.gov,Department of Commerce,NIST,
csrc.nist.gov,Department of Commerce,NIST,
cstl.nist.gov,Department of Commerce,NIST,
data.nist.gov,Department of Commerce,NIST,
decisiontree.nist.gov,Department of Commerce,NIST,
dlmf.nist.gov,Department of Commerce,NIST,
duc.nist.gov,Department of Commerce,NIST,
e3.nist.gov,Department of Commerce,NIST,
ecc.nist.gov,Department of Commerce,NIST,
edges.nist.gov,Department of Commerce,NIST,
emtoolbox.nist.gov,Department of Commerce,NIST,
events.nist.gov,Department of Commerce,NIST,
firedoc.nist.gov,Department of Commerce,NIST,
fits.nist.gov,Department of Commerce,NIST,
gams.nist.gov,Department of Commerce,NIST,
gashydrates.nist.gov,Department of Commerce,NIST,
ghgr.nist.gov,Department of Commerce,NIST,
hit-dev.nist.gov,Department of Commerce,NIST,
hit-nexus.nist.gov,Department of Commerce,NIST,
hl7v2-elr-testing.nist.gov,Department of Commerce,NIST,
hl7v2-gvt.nist.gov,Department of Commerce,NIST,
hl7v2-igamt-2.nist.gov,Department of Commerce,NIST,
hl7v2-igamt.nist.gov,Department of Commerce,NIST,
hl7v2-iz-cdc-testing.nist.gov,Department of Commerce,NIST,
hl7v2-iz-r1-5-testing.nist.gov,Department of Commerce,NIST,
hl7v2-lab-r2-testing.nist.gov,Department of Commerce,NIST,
hl7v2-lab-testing.nist.gov,Department of Commerce,NIST,
hl7v2-ss-r2-testing.nist.gov,Department of Commerce,NIST,
hl7v2tools.nist.gov,Department of Commerce,NIST,
ibal.nist.gov,Department of Commerce,NIST,
icsd.nist.gov,Department of Commerce,NIST,
ihe-pcd.nist.gov,Department of Commerce,NIST,
ihexds.nist.gov,Department of Commerce,NIST,
ilthermo.boulder.nist.gov,Department of Commerce,NIST,
ir.nist.gov,Department of Commerce,NIST,
isg.nist.gov,Department of Commerce,NIST,
its90.nist.gov,Department of Commerce,NIST,
janaf.nist.gov,Department of Commerce,NIST,
jarvis.nist.gov,Department of Commerce,NIST,
kinetics.nist.gov,Department of Commerce,NIST,
lre.nist.gov,Department of Commerce,NIST,
maldi.nist.gov,Department of Commerce,NIST,
manufacturing.gov,Department of Commerce,NIST,
materials.registry.nist.gov,Department of Commerce,NIST,
math.nist.gov,Department of Commerce,NIST,
mdcs.nist.gov,Department of Commerce,NIST,
meis.nist.gov,Department of Commerce,NIST,
mfc.nist.gov,Department of Commerce,NIST,
mgi.gov,Department of Commerce,NIST,
nccoe.nist.gov,Department of Commerce,NIST,
ncp.nist.gov,Department of Commerce,NIST,
nehrp.gov,Department of Commerce,NIST,
nehrpsearch.nist.gov,Department of Commerce,NIST,
nemo.nist.gov,Department of Commerce,NIST,
nestr.nist.gov,Department of Commerce,NIST,
nextg.nist.gov,Department of Commerce,NIST,
nigos.nist.gov,Department of Commerce,NIST,
nist.gov,Department of Commerce,NIST,
nlte.nist.gov,Department of Commerce,NIST,
nvd.nist.gov,Department of Commerce,NIST,
nvlpubs.nist.gov,Department of Commerce,NIST,
openfad.nist.gov,Department of Commerce,NIST,
p-act.nist.gov,Department of Commerce,NIST,
pages.nist.gov,Department of Commerce,NIST,
pah.nist.gov,Department of Commerce,NIST,
phasedata.nist.gov,Department of Commerce,NIST,
potentials.nist.gov,Department of Commerce,NIST,
pv2.nist.gov,Department of Commerce,NIST,
pvdata.nist.gov,Department of Commerce,NIST,
randr.nist.gov,Department of Commerce,NIST,
randr19.nist.gov,Department of Commerce,NIST,
rdaf.nist.gov,Department of Commerce,NIST,
reductus.nist.gov,Department of Commerce,NIST,
rpki-monitor.antd.nist.gov,Department of Commerce,NIST,
rtmms.nist.gov,Department of Commerce,NIST,
sat.nist.gov,Department of Commerce,NIST,
shop.nist.gov,Department of Commerce,NIST,
sibr.nist.gov,Department of Commerce,NIST,
sitexpress.nist.gov,Department of Commerce,NIST,
smstestbed.nist.gov,Department of Commerce,NIST,
srdata.nist.gov,Department of Commerce,NIST,
sre.nist.gov,Department of Commerce,NIST,
